STATEID,STATENAME,COUNTRYID,ACTIVE
8,Andhra Pradesh,98,Y
9,Arunachal Pradesh ,98,Y
10,Assam ,98,Y
11,Bihar ,98,Y
12,Chattisgarh ,98,Y
13,Delhi ,98,Y
14,Goa ,98,Y
15,Gujarat ,98,Y
16,Haryana ,98,Y
17,Himachal Pradesh ,98,Y
18,Jammu and Kashmir ,98,Y
19,Jharkhand ,98,Y
20,Karnataka ,98,Y
21,Kerala ,98,Y
22,Madhya Pradesh ,98,Y
23,Maharashtra ,98,Y
24,Manipur ,98,Y
25,Meghalaya ,98,Y
26,Mizoram ,98,Y
27,Nagaland ,98,Y
28,Orissa,98,Y
29,Punjab ,98,Y
30,Rajasthan ,98,Y
31,Sikkim ,98,Y
32,Tamil Nadu ,98,Y
33,Tripura ,98,Y
34,Uttar Pradesh ,98,Y
35,Uttaranchal ,98,Y
36,West Bengal ,98,Y
37,Andaman and Nicobar Islands,98,Y
38,Telangana,98,Y
39,Chandigarh,98,Y
40,Puducherry,98,Y
